original_name,unified_name,category
PTPRC,PTPRC,MARKER
C_CASPASE3,CASP3_CLEAVED,MARKER
PGR,PGR,MARKER
Synaptophysin,SYNAPTOPHYSIN,MARKER
keratin,KRT,MARKER
HLA.DR,HLA_DRA,MARKER
S100A4,S100A4,MARKER
CollagenIV,COLLAGEN_IV,MARKER
Pan_CK,PANCYTOKERATIN,MARKER
H3K27ME3,H3K27ME3,MARKER
PDX1,PDX1,MARKER
CD4,CD4,MARKER
Lefty,LEFTY,MARKER
MTOR_PHOSPHO,MTOR_PHOSPHO,MARKER
IGHM,IGHM,MARKER
CD3,CD3E,MARKER
CDX2,CDX2,MARKER
blank_4,BLANK_4,TECHNICAL
CDH18,CDH18,MARKER
CD31,PECAM1,MARKER
Perforin-1,PRF1,MARKER
SMActin,ACTA2,MARKER
DAPI-02,DAPI,TECHNICAL
INS,INS,MARKER
MUC6,MUC6,MARKER
KRT20,KRT20,MARKER
DNA8,DNA8,TECHNICAL
Na-K-ATPase,ATP1A1,MARKER
GZMB,GZMB,MARKER
CD68,CD68,MARKER
CASPASE3,CASP3_CLEAVED,MARKER
MHC class II antigen DPB1,HLA_DPB1,MARKER
Keratin19,KRT19,MARKER
CD66,CEACAM6,MARKER
CD107B,LAMP1,MARKER
HISTONE_H3,HISTONEH3,MARKER
IBA1,IBA1,MARKER
CHAT,CHAT,MARKER
S100,S100,MARKER
CD49a,ITGA1,MARKER
Hoechst1,HOECHST,TECHNICAL
CK5,KRT5,MARKER
CCNA2,CCNA2,MARKER
Podoplan,PODOPLANIN,MARKER
actin,ACTB,MARKER
Phospho-Histone H2AX (Ser139),H2AX_PHOSPHO,MARKER
BCATENIN,BCATENIN,MARKER
CD7,CD7,MARKER
CDKN1B_1,CDKN1B,MARKER
CDKN1C,CDKN1C,MARKER
E-CAD,CDH1,MARKER
ECAD,CDH1,MARKER
blank_7,BLANK_7,TECHNICAL
CollIV,COLLAGEN_IV,MARKER
Somatostatin,SST,MARKER
MS4A1,MS4A1,MARKER
HLA_ABC,HLA_ABC,MARKER
Glucose Transporter,SLC2A1,MARKER
ICOS,ICOS,MARKER
G2/mitotic-specific cyclin-B1,CCNB1,MARKER
KRT17,KRT17,MARKER
CD5,CD5,MARKER
HLA-DRA,HLA_DRA,MARKER
NOS2,NOS2,MARKER
Caspase_3,CASP3_CLEAVED,MARKER
HER2,ERBB2,MARKER
CD141,THBD,MARKER
Histone3,HISTONEH3,MARKER
NKX6-1,NKX6_1,MARKER
ECADHERIN,CDH1,MARKER
KRAS,KRAS,MARKER
CD90,THY1,MARKER
ER,ESR1,MARKER
PMTOR,MTOR_PHOSPHO,MARKER
MEK12,MAP2K1_PHOSPHO,MARKER
AlphaSMA,ACTA2,MARKER
AMY2A,AMY2A,MARKER
CD40LG,CD40LG,MARKER
PTPRN,PTPRN,MARKER
CXCL12,CXCL12,MARKER
CD11C,ITGAX,MARKER
CD99,CD99,MARKER
HLA-ABC_ATP1A1,HLA_ABC,MARKER
40S ribosomal protein S6,RPS6,MARKER
VIM,VIMENTIN,MARKER
BCL2,BCL2,MARKER
PDPN,PODOPLANIN,MARKER
CD107a,LAMP1,MARKER
TAZ,WWTR1,MARKER
HOECHST1,HOECHST,TECHNICAL
HLA-ABC,HLA_ABC,MARKER
IL7R,IL7R,MARKER
KI67,MKI67,MARKER
Granz-B,GZMB,MARKER
p53,TP53,MARKER
ERBB2,ERBB2,MARKER
Keratin818,KRT8_18,MARKER
IL3RA,IL3RA,MARKER
NCAM1,NCAM1,MARKER
CD274,CD274,MARKER
DNA9,DNA9,TECHNICAL
CD33,CD33,MARKER
CD2,CD2,MARKER
Pan-protein kinase Akt,AKT,MARKER
CD127,IL7R,MARKER
DNA4,DNA4,TECHNICAL
MHCI,HLA_ABC,MARKER
Ki67,MKI67,MARKER
PD-1,PDCD1,MARKER
MUC-1,MUC1,MARKER
CD21,CD21,MARKER
panCK,PANCYTOKERATIN,MARKER
CD14,CD14,MARKER
PS6,RPS6_PHOSPHO,MARKER
pERK,ERK_PHOSPHO,MARKER
CR2,CR2,MARKER
KRT14,KRT14,MARKER
CK5-6,KRT5_6,MARKER
KRTPAN,PANCYTOKERATIN,MARKER
Twist,TWIST1,MARKER
DNA7,DNA7,TECHNICAL
PanCytoK,PANCYTOKERATIN,MARKER
Slug,SNAI2,MARKER
blank_5,BLANK_5,TECHNICAL
Annexin,ANXA1,MARKER
CD16,FCGR3A,MARKER
HER2_3B5,ERBB2,AMBIGUOUS
Phospho-protein NDRG1 (Thr346),NDRG1_PHOSPHO,MARKER
MPO,MPO,MARKER
PMEK12,MAP2K1_PHOSPHO,MARKER
CD271,NGFR,MARKER
oldCD11b,ITGAM,MARKER
p63,TP63,MARKER
ESR1,ESR1,MARKER
SNAT1,SLC38A1,MARKER
Phospho-tyrosine,PHOSPHO_TYROSINE,MARKER
CK7,KRT7,MARKER
FSP1,S100A4,MARKER
p_AMPK,PRKAA_PHOSPHO,MARKER
PERK12,PHOSPHO_EIF2AK3,MARKER
CD71,TFRC,MARKER
PR,PGR,MARKER
GCG,GCG,MARKER
CD31_VWF,VWF,MARKER
CD207,CD207,MARKER
CD45RA,PTPRC,MARKER
SARSCoV2S1,SARSCoV2S1,TECHNICAL
G1/S-specific cyclin-D1,CCND1,MARKER
GFAP,GFAP,MARKER
DNA,DNA,TECHNICAL
OLFM4,OLFM4,MARKER
CD185 (CXCR5),CXCR5,MARKER
CD56,NCAM1,MARKER
Vimentin,VIMENTIN,MARKER
CD20,MS4A1,MARKER
IAPP,IAPP,MARKER
CD38,CD38,MARKER
NKG2G,KLRK1,MARKER
DNA3,DNA3,TECHNICAL
IL1beta,IL1B,MARKER
PODOPLANIN,PODOPLANIN,MARKER
CK19,KRT19,MARKER
aSMA,ACTA2,MARKER
PH3,PH3,MARKER
blank_1,BLANK_1,TECHNICAL
Glypican3,GPC3,MARKER
OX40,TNFRSF4,MARKER
HER2_D8F12,ERBB2,AMBIGUOUS
TIM3,HAVCR2,MARKER
CD45RO,PTPRC,MARKER
HLADR,HLA_DRA,MARKER
Androgen receptor,AR,MARKER
BCL-2,BCL2,MARKER
PD-L1,CD274,MARKER
SOX9,SOX9,MARKER
CD32,FCGR2A,MARKER
CD98,SLC3A2,MARKER
E-Cadherin,CDH1,MARKER
Annexin A1,ANXA1,MARKER
blank_3,BLANK_3,TECHNICAL
CD161,KLRB1,MARKER
COLLAGENI,COLLAGEN1,MARKER
CAVEOLIN_1,CAV1,MARKER
DNA6,DNA6,TECHNICAL
Phospho-40S ribosomal protein S6 (Ser240, Ser244),RPS6_PHOSPHO,MARKER
CD3d,CD3E,MARKER
CD3E,CD3E,MARKER
blank_2,BLANK_2,TECHNICAL
Collagen IV,COLLAGEN_IV,MARKER
CD117,KIT,MARKER
CD103,ITGAE,MARKER
cPARP1,CASP3_CLEAVED,MARKER
PD_L1,CD274,MARKER
DAPI,DAPI,TECHNICAL
podoplanin,PODOPLANIN,MARKER
Cytokeratin,KRT,MARKER
CD294,CCR10,MARKER
PGP95,ABCC8,MARKER
ITGAX,ITGAX,MARKER
TBR2,EOMES,MARKER
MMP9,MMP9,MARKER
collagen IV,COLLAGEN_IV,MARKER
CD29,ITGB1,MARKER
HIST1H3A,HIST1H3A,MARKER
CD8A,CD8A,MARKER
Channel:0:43,CHANNEL_0_43,TECHNICAL
KRT8_18,KRT8_18,MARKER
C5bC9,C5B9,MARKER
FAP,FAP,MARKER
CD40,CD40,MARKER
Ki-67,MKI67,MARKER
DRAQ5,DRAQ5,TECHNICAL
E-cadherin,CDH1,MARKER
CCND1,CCND1,MARKER
CDK2,CDK2,MARKER
DNA1,DNA1,TECHNICAL
blank_6,BLANK_6,TECHNICAL
NaKATPase,ATP1A1,MARKER
CD30,CD30,MARKER
KRT19,KRT19,MARKER
LaminABC,LMNA_BC,MARKER
H3,HISTONEH3,MARKER
CD54,ICAM1,MARKER
CD138,SDC1,MARKER
Cyclin-A2,CCNA2,MARKER
FCGR3A,FCGR3A,MARKER
CD1C,CD1C,MARKER
KRT13,KRT13,MARKER
Twist1,TWIST1,MARKER
HIF1A,HIF1A,MARKER
Podoplanin,PODOPLANIN,MARKER
Antigen Ki67 (2),MKI67,MARKER
PD_1,PDCD1,MARKER
PDL1,CD274,MARKER
CD163,CD163,MARKER
Transcription factor SOX-2,SOX2,MARKER
Synapt,SYNAPTOPHYSIN,MARKER
LILRB1,LILRB1,MARKER
ISG20,ISG20,MARKER
COX2,PTGS2,MARKER
FOXP3,FOXP3,MARKER
Ecadherin,CDH1,MARKER
Fibronectin,FN1,MARKER
PANCK,PANCYTOKERATIN,MARKER
p27Kip1,CDKN1B,MARKER
MMP12,MMP12,MARKER
